2017,2018,,Hungrybox,,Plup,,Armada,,Leffen,,Mew2 King,,Mango,,Wizzrobe,,aMSa,,Zain,,Axe,,SFAT,,Crush,,S2J,,Lucky,,HugS,,Swedish Delight,,PewPewU,,Westballz,,n0ne,,Duck,,lloD,,AbsentPage,,Ryan Ford,,KJH,,Shroomed,,ARMY,,La Luna,,Syrox,,Trif,,Captain Smuckers,,Colbol,,iBDW,,Bananas,,Ginger,,Ice,,Rishi,,Mike Haze,,Bladewise,,Captain Faceroll,,Junebug,,Kalamazhu,,2saint,,Slox,,Gahtzu,,Michael,,Moky,,Santiago,,Professor Pro,,Medz,,Over Triforce,,ChuDat,,DruggedFox,,dizzkidboogie,,Kirby Kaze,,Nintendude,,Prince Abu,,Amsah,,Android,,Hax,,Kage,,MacD,,Laudandus,,SET COUNT VS. 1-50,,,SET COUNT VS. 26-50,,,SET COUNT VS. 11-25,,,SET COUNT VS. 7-10,,,SET COUNT VS. 1-6,,
1,1,Hungrybox,,,16,5,1,5,8,2,4,1,7,1,5,2,2,1,7,2,3,0,3,0,2,0,2,0,,,1,0,3,0,1,0,1,0,3,0,2,1,1,0,1,0,3,0,4,0,2,0,4,0,2,0,,,,,,,7,0,,,3,0,1,0,,,,,,,1,0,1,0,,,2,0,2,0,1,0,13,3,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,1,0,,,,,,,113,-,22,37,-,3,25,-,2,17,-,4,34,-,13
5,2,Plup,5,16,,,1,2,1,2,4,0,3,2,3,0,0,1,3,1,2,0,1,0,,,1,0,2,0,3,0,1,0,,,2,0,1,0,1,0,,,,,2,0,,,,,1,0,3,0,,,,,,,1,0,,,0,1,2,0,,,1,0,3,0,,,,,,,,,,,,,6,1,,,1,0,,,,,,,,,,,,,1,0,,,,,,,1,0,,,,,,,,,,,56,-,26,16,-,2,17,-,1,9,-,1,14,-,22
2,3,Armada,5,1,2,1,,,2,6,3,3,2,1,,,2,0,3,0,2,0,1,0,,,2,0,2,0,3,0,0,1,1,0,,,2,0,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,1,0,,,,,,,2,0,,,,,,,1,0,,,,,2,0,,,,,,,,,40,-,13,6,-,0,14,-,1,6,-,0,14,-,12
6,4,Leffen,2,8,2,1,6,2,,,1,1,3,3,1,1,1,0,1,0,3,1,5,0,,,2,0,,,1,0,1,0,,,3,1,1,0,2,0,,,,,,,1,0,2,0,,,1,0,1,0,2,2,,,,,,,1,0,,,2,0,1,0,,,,,,,,,1,0,,,1,0,1,0,1,0,,,,,1,0,,,3,1,1,0,,,,,,,,,,,,,1,0,,,,,,,,,47,-,19,10,-,1,19,-,1,4,-,2,14,-,15
4,5,Mew2King,1,4,0,4,3,3,1,1,,,1,0,3,2,3,1,2,0,0,2,3,0,1,0,1,0,0,1,1,0,,,1,0,1,0,,,,,,,,,4,0,1,0,1,0,,,,,,,,,,,1,0,1,0,0,1,,,1,0,0,1,1,0,,,,,,,,,,,2,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,-,20,9,-,2,9,-,2,9,-,4,6,-,12
3,6,Mango,1,7,2,3,1,2,3,3,0,1,,,4,0,1,0,1,3,2,0,4,0,,,,,,,,,1,0,,,,,1,0,2,0,,,1,0,,,1,0,,,0,1,1,0,1,0,,,,,,,1,0,1,1,1,0,,,1,0,1,0,,,,,,,0,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,-,16,8,-,2,6,-,2,10,-,1,7,-,11
8,7,Wizzrobe,2,5,0,3,,,1,1,2,3,0,4,,,3,1,3,1,1,0,3,2,1,0,1,2,1,0,1,0,1,0,,,1,3,4,4,1,0,3,0,2,0,2,0,1,0,,,2,0,1,0,,,1,0,,,1,1,,,,,1,0,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,,,1,0,,,,,,,1,0,,,,,,,43,-,30,13,-,1,20,-,10,5,-,3,5,-,16
24,8,aMSa,1,2,1,0,0,2,0,1,1,3,0,1,1,3,,,,,2,2,2,3,1,0,,,3,0,1,2,3,0,1,0,,,1,0,1,1,,,1,0,,,,,,,,,1,0,,,,,,,0,1,,,,,,,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,1,0,,,,,25,-,21,4,-,1,13,-,3,5,-,8,3,-,9
22,9,Zain,2,7,1,3,0,3,0,1,0,2,3,1,1,3,,,,,0,2,9,0,1,1,0,3,2,1,2,1,4,3,2,1,1,0,2,0,2,1,9,2,2,0,,,5,0,1,0,1,1,2,0,,,2,0,1,2,1,0,1,0,1,0,3,0,,,3,0,1,0,1,0,3,0,9,4,,,,,1,0,0,1,1,0,2,0,1,0,1,0,,,1,0,,,,,,,,,,,1,0,1,0,,,,,,,,,,,76,-,43,38,-,8,26,-,11,6,-,5,6,-,19
7,10,Axe,0,3,0,2,0,2,1,3,2,0,0,2,0,1,2,2,2,0,,,1,1,1,0,2,0,1,0,,,0,1,2,0,,,2,0,1,0,,,2,0,,,,,1,0,0,2,3,0,,,,,,,0,1,,,0,1,0,1,,,,,1,0,1,0,1,0,,,,,,,1,0,,,1,0,,,,,,,3,2,,,,,,,,,,,0,1,,,,,1,0,,,,,,,,,31,-,21,8,-,5,18,-,3,2,-,2,3,-,11
